timestamp,value,index,name
1022819200,0.032258,0,machine-1-1
1022905600,0.043011,1,machine-1-1
1022992000,0.043011,2,machine-1-1
1023078400,0.032258,3,machine-1-1
1023164800,0.032258,4,machine-1-1
1023251200,0.043011,5,machine-1-1
1023337600,0.043011,6,machine-1-1
1023424000,0.043011,7,machine-1-1
1023510400,0.043011,8,machine-1-1
1023596800,0.043011,9,machine-1-1
1023683200,0.043011,10,machine-1-1
1023769600,0.043011,11,machine-1-1
1023856000,0.043011,12,machine-1-1
1023942400,0.043011,13,machine-1-1
1024028800,0.032258,14,machine-1-1
1024115200,0.043011,15,machine-1-1
1024201600,0.043011,16,machine-1-1
1024288000,0.043011,17,machine-1-1
1024374400,0.032258,18,machine-1-1
1024460800,0.032258,19,machine-1-1
1024547200,0.021505,20,machine-1-1
1024633600,0.032258,21,machine-1-1
1024720000,0.032258,22,machine-1-1
1024806400,0.032258,23,machine-1-1
1024892800,0.032258,24,machine-1-1
1024979200,0.032258,25,machine-1-1
1025065600,0.032258,26,machine-1-1
1025152000,0.032258,27,machine-1-1
1025238400,0.043011,28,machine-1-1
1025324800,0.032258,29,machine-1-1
1025411200,0.043011,30,machine-1-1
1025497600,0.032258,31,machine-1-1
1025584000,0.043011,32,machine-1-1
1025670400,0.043011,33,machine-1-1
1025756800,0.032258,34,machine-1-1
1025843200,0.032258,35,machine-1-1
1025929600,0.032258,36,machine-1-1
1026016000,0.032258,37,machine-1-1
1026102400,0.032258,38,machine-1-1
1026188800,0.032258,39,machine-1-1
1026275200,0.043011,40,machine-1-1
1026361600,0.032258,41,machine-1-1
1026448000,0.043011,42,machine-1-1
1026534400,0.032258,43,machine-1-1
1026620800,0.032258,44,machine-1-1
1026707200,0.032258,45,machine-1-1
1026793600,0.032258,46,machine-1-1
1026880000,0.032258,47,machine-1-1
1026966400,0.032258,48,machine-1-1
1027052800,0.032258,49,machine-1-1
1027139200,0.043011,50,machine-1-1
1027225600,0.043011,51,machine-1-1
1027312000,0.043011,52,machine-1-1
1027398400,0.032258,53,machine-1-1
1027484800,0.032258,54,machine-1-1
1027571200,0.032258,55,machine-1-1
1027657600,0.043011,56,machine-1-1
1027744000,0.032258,57,machine-1-1
1027830400,0.032258,58,machine-1-1
1027916800,0.032258,59,machine-1-1
1028003200,0.032258,60,machine-1-1
1028089600,0.021505,61,machine-1-1
1028176000,0.032258,62,machine-1-1
1028262400,0.032258,63,machine-1-1
1028348800,0.032258,64,machine-1-1
1028435200,0.032258,65,machine-1-1
1028521600,0.021505,66,machine-1-1
1028608000,0.021505,67,machine-1-1
1028694400,0.021505,68,machine-1-1
1028780800,0.021505,69,machine-1-1
1028867200,0.032258,70,machine-1-1
1028953600,0.032258,71,machine-1-1
1029040000,0.021505,72,machine-1-1
1029126400,0.032258,73,machine-1-1
1029212800,0.021505,74,machine-1-1
1029299200,0.021505,75,machine-1-1
1029385600,0.021505,76,machine-1-1
